complaint,category,date,region
Kindly look into the matter: received damaged item from online store,Consumer Law,2024-02-29,Delhi
This problem occurred because received damaged item from online store,Consumer Law,2023-05-06,Hyderabad
This problem occurred because seller refused to refund defective product,Consumer Law,2022-08-13,Kolkata
I am writing to report that wrong product delivered and no replacement,Consumer Law,2023-09-28,Chennai
Received damaged item from online store,Consumer Law,2024-05-08,Ahmedabad
I am writing to report that seller refused to refund defective product,Consumer Law,2024-07-06,Chennai
I need help since seller refused to refund defective product,Consumer Law,2024-05-25,Chennai
This is regarding that company is not honoring warranty,Consumer Law,2023-01-13,Pune
I am writing to report that service provider charged extra money,Consumer Law,2024-11-09,Pune
I want to complain that received damaged item from online store,Consumer Law,2023-10-04,Chennai
Wrong product delivered and no replacement,Consumer Law,2022-05-29,Kolkata
I need help since company is not honoring warranty,Consumer Law,2023-11-27,Pune
Please help as wrong product delivered and no replacement,Consumer Law,2024-08-22,Kolkata
Please help as seller refused to refund defective product,Consumer Law,2024-03-25,Mumbai
Kindly look into the matter: service provider charged extra money,Consumer Law,2022-08-01,Chennai
This is regarding that wrong product delivered and no replacement,Consumer Law,2023-04-13,Delhi
received damaged item from online store and no action has been taken,Consumer Law,2023-01-21,Hyderabad
Please help as received damaged item from online store,Consumer Law,2023-03-26,Kolkata
I am facing an issue where company is not honoring warranty,Consumer Law,2024-04-18,Hyderabad
I am facing an issue where wrong product delivered and no replacement,Consumer Law,2023-07-08,Chennai
This is regarding that seller refused to refund defective product,Consumer Law,2022-04-10,Hyderabad
wrong product delivered and no replacement and no action has been taken,Consumer Law,2023-10-25,Chennai
Please help as seller refused to refund defective product,Consumer Law,2024-07-19,Chennai
Please help as received damaged item from online store,Consumer Law,2022-07-12,Delhi
I am writing to report that received damaged item from online store,Consumer Law,2022-07-20,Mumbai
I want to complain that company is not honoring warranty,Consumer Law,2022-01-18,Chennai
Kindly look into the matter: received damaged item from online store,Consumer Law,2022-02-25,Delhi
I need help since company is not honoring warranty,Consumer Law,2024-02-10,Bangalore
This is regarding that company is not honoring warranty,Consumer Law,2024-03-03,Delhi
Please help as company is not honoring warranty,Consumer Law,2022-02-06,Hyderabad
Kindly look into the matter: wrong product delivered and no replacement,Consumer Law,2022-10-07,Kolkata
This problem occurred because wrong product delivered and no replacement,Consumer Law,2024-05-11,Pune
Kindly look into the matter: wrong product delivered and no replacement,Consumer Law,2024-10-26,Ahmedabad
This is regarding that service provider charged extra money,Consumer Law,2022-04-30,Delhi
I am facing an issue where service provider charged extra money,Consumer Law,2023-02-02,Chennai
company is not honoring warranty and no action has been taken,Consumer Law,2024-06-16,Kolkata
This is regarding that company is not honoring warranty,Consumer Law,2024-12-22,Pune
This is regarding that received damaged item from online store,Consumer Law,2023-01-17,Hyderabad
I am writing to report that wrong product delivered and no replacement,Consumer Law,2022-06-04,Ahmedabad
Please help as service provider charged extra money,Consumer Law,2024-08-09,Mumbai
company is not honoring warranty and no action has been taken,Consumer Law,2022-11-11,Delhi
I need help since seller refused to refund defective product,Consumer Law,2024-03-20,Ahmedabad
I need help since company is not honoring warranty,Consumer Law,2022-08-06,Bangalore
Kindly look into the matter: service provider charged extra money,Consumer Law,2023-03-11,Hyderabad
Service provider charged extra money,Consumer Law,2022-07-13,Delhi
This problem occurred because received damaged item from online store,Consumer Law,2024-06-26,Kolkata
I am writing to report that received damaged item from online store,Consumer Law,2024-07-02,Kolkata
I want to complain that wrong product delivered and no replacement,Consumer Law,2024-07-26,Hyderabad
Kindly look into the matter: wrong product delivered and no replacement,Consumer Law,2023-11-30,Mumbai
I am writing to report that received damaged item from online store,Consumer Law,2023-10-27,Bangalore
I need help since service provider charged extra money,Consumer Law,2024-04-28,Pune
This is regarding that company is not honoring warranty,Consumer Law,2022-08-13,Pune
